Year,Institute,Program,Quota,Category,Round,Opening Rank,Closing Rank
2025,"A.N.A.COLLEGE OF ENGINEERING & MANAGEMENT,BAREILLY",Information Technology,Home State,OPEN,Round 1,745436,745436
2025,"A.N.A.COLLEGE OF ENGINEERING & MANAGEMENT,BAREILLY",Computer Science and Engineering,Home State,OPEN,Round 1,244556,1020711
2025,"A.N.A.COLLEGE OF ENGINEERING & MANAGEMENT,BAREILLY",Computer Science and Engineering,Home State,OPEN(GIRL),Round 2,629525,629525
2025,"A.N.A.COLLEGE OF ENGINEERING & MANAGEMENT,BAREILLY",Information Technology,Home State,OPEN,Round 2,414149,414149
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Electrical and Computer Engineering,Home State,BC(Girl),Round 1,642103,1106541
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering,Home State,EWS(AF),Round 1,494133,1126105
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Mechanical Engineering,Home State,OPEN,Round 1,383025,734174
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Electrical and Computer Engineering,Home State,OPEN(AF),Round 1,1100796,1100796
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Electrical and Computer Engineering,Home State,EWS(OPEN),Round 1,525600,663901
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering,Home State,SC(Girl),Round 1,296045,1303843
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering,Home State,OPEN(GIRL),Round 1,80997,293854
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering,Home State,SC,Round 1,341862,1401527
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),Home State,BC,Round 1,280570,395773
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),Home State,EWS(GL),Round 1,339583,347339
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Mechanical Engineering,Home State,OPEN(GIRL),Round 1,663725,1048654
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering,Home State,OPEN(PH),Round 1,1124869,1124869
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Electrical and Computer Engineering,Home State,EWS(GL),Round 1,619190,681764
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Electrical and Computer Engineering,Home State,OPEN(GIRL),Round 1,350265,533858
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering,Home State,BC(Girl),Round 1,294061,448172
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering,Home State,OPEN(AF),Round 1,290776,485776
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),Home State,BC(Girl),Round 1,298570,449076
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Electrical and Computer Engineering,Home State,SC,Round 1,1011269,1011269
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering,Home State,OPEN,Round 1,81534,278476
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Electronics and Communication Engineering,Home State,EWS(GL),Round 1,404003,453654
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Data Science),Home State,EWS(GL),Round 1,347725,363961
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),Home State,OPEN(TF),Round 1,84282,181098
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering,Home State,EWS(GL),Round 1,302626,346972
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Data Science),Home State,OPEN,Round 1,195624,304225
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering,Home State,EWS(OPEN),Round 1,278506,327256
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Electronics and Communication Engineering,Home State,BC(Girl),Round 1,512958,661979
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Electronics and Communication Engineering (FW),Home State,OPEN(TF),Round 1,198479,234841
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Electronics and Communication Engineering,Home State,BC,Round 1,400953,540065
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),Home State,SC,Round 1,340903,1331929
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),Home State,ST,Round 1,1256434,1256434
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Data Science),Home State,BC(Girl),Round 1,449749,481613
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Data Science),Home State,EWS(OPEN),Round 1,305092,335356
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Electrical and Computer Engineering,Home State,BC,Round 1,553662,741088
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering,Home State,BC,Round 1,279880,391147
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Data Science),Home State,BC,Round 1,323711,411300
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Data Science),Home State,SC,Round 1,737339,1169908
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Electronics and Communication Engineering,Home State,OPEN(AF),Round 1,621734,808230
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),Home State,EWS(OPEN),Round 1,282688,329940
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Data Science),Home State,OPEN(AF),Round 1,532682,586826
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Electronics and Communication Engineering,Home State,OPEN,Round 1,247993,397445
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Electronics and Communication Engineering,Home State,EWS(OPEN),Round 1,403061,481367
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Mechanical Engineering,Home State,EWS(OPEN),Round 1,777967,995573
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),Home State,OPEN(GIRL),Round 1,144587,285972
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Electronics and Communication Engineering,Home State,SC,Round 1,829555,1418516
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Electrical and Computer Engineering,Home State,OPEN,Round 1,267582,522564
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Data Science),Home State,OPEN(GIRL),Round 1,223633,308609
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Electrical and Computer Engineering (FW),Home State,OPEN(TF),Round 1,172150,237806
2025,"ABES ENGG.COLLEGE,GHAZIABAD",Mechanical Engineering (FW),Home State,OPEN(TF),Round 1,260887,416910
