nirf_year,ranking_category,institute_name,city,state,rank,rank_band,score,source
2025,Engineering,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,4,,81.82,NIRF
2025,Engineering,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,10,,67.24,NIRF
2025,Engineering,Aligarh Muslim University,Aligarh,Uttar Pradesh,34,,59.01,NIRF
2025,Engineering,Amity University,Gautam Budh Nagar,Uttar Pradesh,37,,58.53,NIRF
2025,Engineering,Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,60,,52.45,NIRF
2025,Engineering,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,62,,52.15,NIRF
2025,Engineering,Rajiv Gandhi Institute of Petroleum Technology,Amethi,Uttar Pradesh,78,,48.52,NIRF
2025,Engineering,Indian Institute of Information Technology Allahabad,Prayagraj,Uttar Pradesh,,101-150,,NIRF
2025,Engineering,Jaypee Institute of Information Technology,Noida,Uttar Pradesh,,101-150,,NIRF
2025,Engineering,Galgotias University,Gautam Budh Nagar,Uttar Pradesh,,101-150,,NIRF
2025,Engineering,Noida Institute of Engineering & Technology,Greater Noida,Uttar Pradesh,,101-150,,NIRF
2025,Engineering,Sharda University,Greater Noida,Uttar Pradesh,,101-150,,NIRF
2025,Engineering,University of Allahabad,Prayagraj,Uttar Pradesh,,101-150,,NIRF
2025,Engineering,Dayalbagh Educational Institute,Agra,Uttar Pradesh,,151-200,,NIRF
2025,Engineering,G. L. A. University,Mathura,Uttar Pradesh,,151-200,,NIRF
2025,Engineering,G.L.Bajaj Institute of Technology and Management,Greater Noida,Uttar Pradesh,,151-200,,NIRF
2025,Engineering,Galgotias College of Engineering & Technology,Greater Noida,Uttar Pradesh,,201-300,,NIRF
2025,Engineering,Harcourt Butler Technical University,Kanpur Nagar,Uttar Pradesh,,201-300,,NIRF
2025,Engineering,"Jss Academy Of Technical Education, Noida",Gautam Budh Nagar,Uttar Pradesh,,201-300,,NIRF
2025,Engineering,"Mahatama Jyotiba Phule Rohikhand University, Bareilly",Bareilly,Uttar Pradesh,,201-300,,NIRF
2025,Engineering,Teerthanker Mahaveer University,Moradabad,Uttar Pradesh,,201-300,,NIRF
